groupname,groupidnumber,description,enrolmentkey
131922,131922,,
131935,131935,,
132107,132107,,
132124,132124,,
132142,132142,,
132160,132160,,
132183,132183,,
132204,132204,,
132224,132224,,
132244,132244,,
132361,132361,,
132379,132379,,
132412,132412,,
132466,132466,,
132480,132480,,
132494,132494,,
132506,132506,,
